,id,adult,softcore
65,1682373,False,False
66,1567153,,
67,1481041,False,False
68,1683541,False,False
69,1515722,False,False
70,1585626,,
71,1387738,False,False
72,1567146,,
73,100461,False,False
74,1683342,False,False
75,1079091,False,False
76,105,False,False
77,1680374,,
78,1635276,False,False
79,1683542,False,False
80,620,False,False
81,1056494,False,False
82,14615,False,False
83,165,False,False
84,1683543,False,False
85,8337,False,False
86,679,False,False
87,196,False,False
88,9003,False,False
89,1683263,False,False
90,1487320,False,False
91,9495,False,False
92,1556823,False,False
93,1682744,False,False
94,656208,False,False
95,1602879,False,False
96,1423254,False,False
97,287558,False,False
98,1662708,False,False
99,1683544,False,False
0,1543796,False,False
1,35458,False,False
2,1014555,False,False
3,1577911,False,False
4,1634251,False,False
5,53906,False,False
6,1549154,False,False
7,1683545,False,False
8,1645739,False,False
9,1683546,False,False
10,1140498,False,False
11,137106,False,False
12,1541096,False,False
13,8047,False,False
14,1588700,False,False
15,36685,False,False
16,27019,False,False
17,203684,False,False
18,1595872,False,False
19,1683547,False,False
20,47292,False,False
21,36897,False,False
22,1469458,False,False
23,1561758,False,False
24,1650932,False,False
25,1682763,False,False
26,1682743,False,False
27,1530027,False,False
28,1139036,False,False
29,1418715,False,False
30,1665463,False,False
31,41889,False,False
32,1649962,False,False
33,1679714,False,False
34,1536126,False,False
35,718032,False,False
36,1600178,False,False
37,1490173,False,False
38,1533361,False,False
39,1680875,False,False
40,1649872,False,False
41,1563582,False,False
42,1535943,False,False
43,1679706,False,False
44,1603387,False,False
45,1679702,False,False
46,15264,False,False
47,1463146,False,False
48,1472029,False,False
49,1661595,False,False
50,1559502,False,False
51,1450499,False,False
52,1679622,False,False
53,1494602,False,False
54,587196,False,False
55,1649911,False,False
56,1124020,False,False
57,1462229,False,False
58,1562176,False,False
59,980431,False,False
60,1681461,False,False
61,1683548,False,False
62,10787,False,False
63,1368492,False,False
64,1680864,False,False
65,598538,False,False
66,547403,False,False
67,1303439,False,False
68,1573835,False,False
69,1669055,False,False
70,249941,False,False
71,1365683,False,False
72,470044,False,False
73,1471810,False,False
74,49213,False,False
75,541956,False,False
76,1624564,False,False
77,1680771,False,False
78,1507086,False,False
79,275306,False,False
80,1683549,False,False
81,13666,False,False
82,705950,False,False
83,1682478,False,False
84,381189,False,False
85,2270,False,False
86,1200293,True,False
87,451923,False,False
88,1677550,False,False
89,1683550,,
90,1288341,False,False
91,636359,False,False
92,49521,False,False
93,673175,False,False
94,42041,False,False
95,1623015,False,False
96,1683551,False,False
97,3035,False,False
98,9013,False,False
99,1683307,False,False
0,1683552,False,False
1,1175267,False,False
2,1683553,,
3,1417,False,False
4,10973,False,False
5,649732,False,False
6,740207,,
7,1234821,False,False
8,339967,False,False
9,1280738,False,False
10,632929,False,False
11,1597984,False,False
12,233487,False,False
13,423161,False,False
14,338766,False,False
15,1444711,False,False
16,17922,False,False
17,205798,False,False
18,10974,False,False
19,44835,False,False
20,489785,False,False
21,10975,False,False
22,262097,False,False
23,5488,False,False
24,1376840,False,False
25,25848,False,False
26,37498,False,False
27,5590,False,False
28,15379,False,False
29,1923,False,False
30,127613,False,False
31,41662,False,False
32,1265283,False,False
33,1571693,False,False
34,1439655,False,False
35,1453867,True,False
36,236333,False,False
37,1448496,False,False
38,1683554,,
39,272431,False,False
40,12500,False,False
41,1579306,False,False
42,248240,False,False
43,269711,False,False
44,971762,False,False
45,1663822,False,False
46,765149,False,False
47,1543739,False,False
48,876189,False,False
49,257853,False,True
50,10367,False,False
51,539,False,False
52,40088,False,False
53,9987,False,False
54,1683555,False,False
55,1683556,False,False
56,1268127,False,False
57,376847,False,False
58,1683557,False,False
59,1304313,False,False
60,951491,False,False
61,8416,False,False
62,257835,False,True
63,177152,False,False
64,9706,False,False
65,591662,False,False
66,2671,False,False
67,257657,False,False
68,9669,False,False
69,9674,False,False
70,140441,False,False
71,257527,False,False
72,583132,False,False
73,940417,False,False
74,826796,False,False
75,1683558,False,False
76,1293550,False,False
77,458190,False,True
78,1193501,False,False
79,1683559,,
80,20642,False,False
81,1407896,False,True
82,1583491,False,False
83,359241,False,True
84,701881,False,False
85,9464,False,False
86,701874,False,False
87,74622,False,False
88,50014,False,False
89,633374,False,False
90,1083381,False,False
91,1683560,,
92,479718,False,False
93,908762,False,False
94,1306368,False,False
95,130023,False,False
96,1523553,False,False
97,155,False,False
98,1476740,False,False
99,1206029,False,False
0,1495165,False,False
1,257856,False,True
2,424209,False,False
3,1683561,,
4,47555,False,False
5,1654268,False,False
6,17124,False,False
7,1683562,False,False
8,1681683,False,False
9,1226578,False,False
10,666423,False,True
11,199465,False,False
12,1174382,False,False
13,12627,False,False
14,6643,False,False
15,132363,False,False
16,257851,True,False
17,1590206,False,False
18,1268930,False,False
19,1325734,False,False
20,1683563,,
21,653708,False,False
22,1683564,False,False
23,1468679,False,False
24,3089,False,False
25,1118343,False,False
26,257847,False,True
27,1561949,False,False
28,1681462,False,False
29,61048,False,False
30,1681651,False,False
31,1683565,False,False
32,359242,False,True
33,1510745,False,False
34,1140521,False,False
35,220834,False,False
36,1683112,False,False
37,1425485,False,False
38,1683566,,
39,36566,False,False
40,1681659,False,False
41,1676438,False,False
42,1516536,False,False
43,1044582,False,False
44,1446942,False,False
45,1683567,,
46,666417,False,True
47,1567151,False,False
48,1545931,False,False
49,1453313,False,False
50,1598802,False,False
51,1683568,,
52,1471822,False,False
53,1418816,False,False
54,8703,False,False
55,257854,False,True
56,1683569,False,False
57,536151,False,True
58,1588230,False,False
59,1683570,,
60,1683571,False,False
61,1317181,False,False
62,336776,False,False
63,1650276,False,False
64,549610,False,False
65,1591845,False,False
66,691411,False,True
67,691415,False,True
68,1465751,False,False
69,1662420,False,False
70,103938,False,False
71,691418,False,False
72,1683058,False,False
73,1519621,False,False
74,1683572,,
75,225197,False,False
76,1400796,False,False
77,33518,False,False
78,28422,False,False
79,368408,False,False
80,1683573,,
81,1683246,False,False
82,1560862,False,False
83,1683574,False,False
84,1398636,False,False
85,642717,False,False
86,1618337,False,False
87,1401106,False,False
88,1683575,False,False
89,1270734,False,False
90,1683576,False,False
91,1004832,False,False
92,1596276,False,False
93,1517125,False,False
94,1683577,False,False
95,1683578,False,False
96,1683579,,
97,1622177,False,False
98,1339666,False,False
99,721510,False,False
0,957976,False,False
1,1555984,False,False
2,1683580,True,False
3,1662678,False,False
4,567811,False,False
5,1683581,,
6,410390,True,False
7,35977,False,False
8,1683582,False,False
9,1683583,False,False
10,1587472,False,False
11,1683384,,
12,1683383,,
13,1683382,,
14,1683381,,
15,1683380,,
16,1683379,,
17,1683364,,
18,1215532,False,False
19,1683363,,
20,1683362,,
21,1683361,,
22,1683360,,
23,1683359,,
24,1683341,,
25,1683340,,
26,1683339,,
27,1683338,,
28,1613575,False,False
29,1683584,False,False
30,1048522,False,False
31,291860,False,False
32,1683585,,
33,37265,False,True
34,650059,False,False
35,472496,False,False
36,1319895,False,False
37,1440807,False,False
38,1624453,False,False
39,1662685,False,False
40,1683586,,
41,1538316,False,False
42,238,False,False
43,1683587,,
44,10802,False,False
45,1683588,True,False
46,1194963,False,False
47,762963,False,False
48,1198760,False,False
49,1683589,,
50,640303,False,False
51,1676391,False,False
52,673,False,False
53,1683590,,
54,1683591,False,False
55,3784,False,False
56,1683592,,
57,1683593,False,False
58,37707,False,False
59,1683594,,
60,1432076,False,False
61,1683595,,
62,1327819,False,False
63,183889,False,False
64,949343,False,False
65,634649,False,False
66,1430386,False,False
67,1562172,False,False
68,629026,False,False
69,1294978,False,False
70,1683596,,
71,97663,False,False
72,1683597,True,False
73,394759,False,False
74,1683598,,
75,431260,False,False
76,1683599,,
77,786562,False,False
78,627996,False,False
79,1683600,,
80,1573,False,False
81,1037639,False,False
82,1212240,False,False
83,1683601,,
84,570053,False,False
85,1382024,False,False
86,1562640,False,False
87,1683602,,
88,61005,False,False
89,181808,False,False
90,24461,False,False
91,1570597,False,False
92,1683603,,
93,673593,False,False
94,1683604,,
95,1494140,False,False
96,1536681,False,False
97,1257406,False,False
98,1683605,,
99,917618,False,False
0,1655906,False,False
1,1589011,False,False
2,767383,False,False
3,11,False,False
4,1678921,True,False
5,1683606,,
6,1683607,,
7,601493,False,False
8,663241,False,False
9,228674,False,False
10,1589065,False,False
11,1545550,False,False
12,1683608,True,False
13,1515314,False,False
14,700136,False,False
15,884566,False,False
16,1084244,False,False
17,267413,False,False
18,1590218,False,False
19,267935,False,False
20,1645587,False,False
21,404374,False,False
22,1683609,True,False
23,1482168,False,False
24,115766,False,False
25,1628661,False,False
26,1683610,False,False
27,1683611,,
28,64131,False,False
29,1562659,False,False
30,1683612,False,False
31,1636186,False,False
32,1683613,True,False
33,70160,False,False
34,64015,False,False
35,271110,False,False
36,1653283,False,False
37,1622571,False,False
38,1628635,False,False
39,1062654,False,False
40,1087119,False,False
41,936075,False,False
42,1683614,False,False
43,1596228,False,False
44,83389,False,False
45,1683615,False,True
46,1683616,False,False
47,1609445,False,False
48,202479,False,False
49,1538056,False,False
50,2830,False,False
51,1588350,False,False
52,1678573,False,False
53,1683617,,
54,5241,False,False
55,1184006,False,False
56,21795,False,False
57,1088548,False,False
58,9552,False,False
59,1115170,False,True
60,1404911,False,False
61,404313,False,False
62,503011,False,False
63,1683618,,
64,1670033,False,False
65,1680402,False,False
66,1683619,True,False
67,1084626,False,False
68,141561,False,False
69,1648413,False,False
70,1628653,False,False
